#Gene systematic ID	dummy1	dummy2	FYPO ID
SPCC18B5.01c			FYPO:0000962
SPCC18B5.01c			FYPO:0000957
SPCC18B5.01c			FYPO:0003850
SPCC18B5.01c			FYPO:0001238
SPCC18B5.01c			FYPO:0000717
SPCC18B5.01c			FYPO:0001501
SPCC18B5.01c			FYPO:0002237
SPCC18B5.01c			FYPO:0002640
SPCC18B5.01c			FYPO:0000104
SPCC18B5.01c			FYPO:0001498
SPCC18B5.01c			FYPO:0007556
SPCC18B5.01c			FYPO:0007555
SPCC18B5.01c			FYPO:0003853
SPCC18B5.01c			FYPO:0000633
SPCC18B5.01c			FYPO:0000106
SPCC18B5.01c			FYPO:0000715
SPCC18B5.01c			FYPO:0003358
SPCC18B5.01c			FYPO:0003855
SPCC18B5.01c			FYPO:0003359
SPCC18B5.01c			FYPO:0001692
SPCC18B5.01c			FYPO:0000113
SPCC18B5.01c			FYPO:0002328
SPCC18B5.01c			FYPO:0007554
SPCC18B5.01c			FYPO:0003718
SPCC18B5.01c			FYPO:0002546
SPCC18B5.01c			FYPO:0001457
SPCC18B5.01c			FYPO:0003859
SPCC18B5.01c			FYPO:0002060
SPCC18B5.01c			FYPO:0002177
SPAC17H9.09c			FYPO:0000302
SPAC17H9.09c			FYPO:0000822
SPAC17H9.09c			FYPO:0000280
SPBC30D10.10c			FYPO:0000674
SPBC947.01			FYPO:0001585
SPBC947.01			FYPO:0004700
SPBC947.01			FYPO:0001327
SPAC22E12.14c			FYPO:0002033
SPAC22E12.14c			FYPO:0003535
SPAC22E12.14c			FYPO:0001407
SPAC22E12.14c			FYPO:0006978
SPAC22E12.14c			FYPO:0002143
SPAC22E12.14c			FYPO:0003125
SPAC22E12.14c			FYPO:0003827
SPAC22E12.14c			FYPO:0001772
SPAC22E12.14c			FYPO:0001355
SPAC22E12.14c			FYPO:0009007
SPAC22E12.14c			FYPO:0000998
SPAC22E12.14c			FYPO:0002019
SPAC22E12.14c			FYPO:0004129
SPAC22E12.14c			FYPO:0003532
SPAC22E12.14c			FYPO:0001309
SPAC22E12.14c			FYPO:0004163
SPAC22E12.14c			FYPO:0001164
SPAC22E12.14c			FYPO:0004422
SPAC22E12.14c			FYPO:0001668
SPAC22E12.14c			FYPO:0003828
SPAC22E12.14c			FYPO:0001310
SPAC22E12.14c			FYPO:0006566
SPAC22E12.14c			FYPO:0000067
SPAC22E12.14c			FYPO:0000763
SPAC22E12.14c			FYPO:0003824
SPAC22E12.14c			FYPO:0009045
SPAC22E12.14c			FYPO:0002634
SPAC22E12.14c			FYPO:0001453
SPAC22E12.14c			FYPO:0009050
SPAC22E12.14c			FYPO:0000725
SPAC22E12.14c			FYPO:0007161
SPAC22E12.14c			FYPO:0009039
SPAC22E12.14c			FYPO:0005266
